id,Label
1,Albania
2,Antigua and Barbuda
3,Argentina
4,Armenia
5,Austria
6,Bahamas
7,Bangladesh
8,Barbados
9,Belarus
10,Benin
11,"Bolivia, Plurinational State of"
12,Brazil
13,Cambodia
14,Cape Verde
15,Comoros
16,Djibouti
17,Dominica
18,Ecuador
19,Georgia
20,Guinea-Bissau
21,Haiti
22,Indonesia
23,"Iran, Islamic Republic of"
24,Jamaica
25,Jordan
26,Kazakhstan
27,Kyrgyzstan
28,Lao People's Democratic Republic
29,Lebanon
30,Macao
31,Madagascar
32,Malawi
33,Malaysia
34,Maldives
35,Mauritania
36,Mauritius
37,"Micronesia, Federated States of"
38,"Moldova, Republic of"
39,Mozambique
40,Nepal
41,Palau
42,Panama
43,Russian Federation
44,Rwanda
45,Samoa
46,Seychelles
47,Somalia
48,Sri Lanka
49,Saint Vincent and the Grenadines
50,Tajikistan
51,"Tanzania, United Republic of"
52,Timor-Leste
53,Togo
54,Tuvalu
55,Uganda
56,Ukraine
57,Uruguay
58,Uzbekistan
59,Zimbabwe
60,Andorra
61,Belgium
62,Belize
63,Bosnia and Herzegovina
64,Botswana
65,Bulgaria
66,Angola
67,Chile
68,Colombia
69,Costa Rica
70,Croatia
71,Cuba
72,Cyprus
73,Czech Republic
74,Denmark
75,Dominican Republic
76,Egypt
77,El Salvador
78,Estonia
79,Swaziland
80,Fiji
81,Finland
82,France
83,Algeria
84,Bahrain
85,Afghanistan
86,Gambia
87,Germany
88,Greece
89,Grenada
90,Burkina Faso
91,Guatemala
92,Guyana
93,Honduras
94,Hong Kong
95,Hungary
96,Iceland
97,Ireland
98,Italy
99,Kenya
100,Kiribati
101,Latvia
102,Lesotho
103,Ghana
104,Liechtenstein
105,Lithuania
106,Luxembourg
107,"Macedonia, the former Yugoslav Republic of"
108,Ethiopia
109,Burundi
110,Australia
111,Malta
112,Monaco
113,Montenegro
114,Gabon
115,Central African Republic
116,"Congo, the Democratic Republic of the"
117,Chad
118,Brunei Darussalam
119,Netherlands
120,Nicaragua
121,Norway
122,Canada
123,Guinea
124,Congo
125,C̫te d'Ivoire
126,China
127,Peru
128,Philippines
129,Poland
130,Portugal
131,Qatar
132,Romania
133,Israel
134,Japan
135,San Marino
136,Senegal
137,Serbia
138,Singapore
139,Slovakia
140,Slovenia
141,Solomon Islands
142,South Africa
143,"Korea, Republic of"
144,Spain
145,Saint Kitts and Nevis
146,Saint Lucia
147,Suriname
148,Sweden
149,Switzerland
150,Marshall Islands
151,Mexico
152,Mongolia
153,Morocco
154,Trinidad and Tobago
155,Tunisia
156,Mali
157,New Zealand
158,Sao Tome and Principe
159,Liberia
160,United Kingdom
161,Vanuatu
162,Holy See (Vatican City State)
163,"Venezuela, Bolivarian Republic of"
164,Zambia
165,Kuwait
166,Oman
167,"Palestinian Territory, Occupied"
168,Papua New Guinea
169,Paraguay
170,Niger
171,Nigeria
172,Myanmar
173,Thailand
174,Turkey
175,United Arab Emirates
176,Sierra Leone
177,Azerbaijan
178,Syrian Arab Republic
179,"Taiwan, Province of China"
180,Tonga
181,Yemen
182,Equatorial Guinea
183,Eritrea
184,United States
185,Viet Nam
186,Iraq
187,Sudan
188,Nauru
189,Libyan Arab Jamahiriya
190,Saudi Arabia
191,Pakistan
192,India
193,Turkmenistan
194,Cameroon
195,Bhutan
196,"Korea, Democratic People's Republic of"
