passport,to,visafree
AM,AF,0
AM,AL,1
AM,DZ,0
AM,AS,0
AM,AD,0
AM,AO,0
AM,AI,0
AM,AG,1
AM,AR,1
AM,AM,0
AM,AW,0
AM,AU,0
AM,AT,1
AM,AZ,0
AM,BS,1
AM,BH,0
AM,BD,1
AM,BB,1
AM,BY,1
AM,BE,0
AM,BZ,0
AM,BJ,1
AM,BM,0
AM,BT,0
AM,BO,1
AM,BQ,0
AM,BA,0
AM,BW,0
AM,BR,1
AM,VG,0
AM,BN,0
AM,BG,0
AM,BF,0
AM,BI,0
AM,KH,1
AM,CM,0
AM,CA,0
AM,CV,1
AM,KY,0
AM,CF,0
AM,TD,0
AM,CL,0
AM,CN,0
AM,CO,0
AM,KM,1
AM,CD,0
AM,CG,0
AM,CK,1
AM,CR,0
AM,CI,0
AM,HR,0
AM,CU,0
AM,CW,0
AM,CY,0
AM,CZ,0
AM,DK,0
AM,DJ,1
AM,DM,1
AM,DO,0
AM,EC,1
AM,EG,0
AM,SV,0
AM,GQ,0
AM,ER,0
AM,EE,0
AM,SZ,0
AM,ET,0
AM,FK,0
AM,FO,0
AM,FJ,0
AM,FI,0
AM,FR,0
AM,GF,0
AM,PF,0
AM,FW,0
AM,GA,0
AM,GM,0
AM,GE,1
AM,DE,0
AM,GH,0
AM,GI,0
AM,GR,0
AM,GL,0
AM,GD,0
AM,GU,0
AM,GT,0
AM,GN,0
AM,GW,1
AM,GY,0
AM,HT,1
AM,HN,0
AM,HK,0
AM,HU,0
AM,IS,0
AM,IN,0
AM,ID,1
AM,IR,1
AM,IQ,0
AM,IE,0
AM,IL,0
AM,IT,0
AM,JM,1
AM,JP,0
AM,JO,1
AM,KZ,1
AM,KE,0
AM,KI,0
AM,XK,0
AM,KW,0
AM,KG,1
AM,LA,1
AM,LV,0
AM,LB,1
AM,LS,0
AM,LR,0
AM,LY,0
AM,LI,0
AM,LT,0
AM,LU,0
AM,MO,1
AM,MK,0
AM,MG,1
AM,MW,1
AM,MY,1
AM,MV,1
AM,ML,0
AM,MT,0
AM,MH,0
AM,MR,1
AM,MU,1
AM,YT,0
AM,MX,0
AM,FM,1
AM,MD,1
AM,MC,0
AM,MN,0
AM,ME,0
AM,MS,0
AM,MA,0
AM,MZ,1
AM,MM,0
AM,NA,1
AM,NR,0
AM,NP,1
AM,NL,0
AM,NC,0
AM,NZ,0
AM,NI,0
AM,NE,0
AM,NG,0
AM,NU,1
AM,KP,0
AM,MP,0
AM,NO,0
AM,OM,0
AM,PK,0
AM,PW,1
AM,PS,0
AM,PA,1
AM,PG,0
AM,PY,0
AM,PE,0
AM,PH,0
AM,PL,0
AM,PT,0
AM,PR,0
AM,QA,0
AM,RE,0
AM,RO,0
AM,RU,1
AM,RW,1
AM,WS,1
AM,SM,0
AM,ST,0
AM,SA,0
AM,SN,0
AM,RS,0
AM,SC,1
AM,SL,0
AM,SG,0
AM,SK,0
AM,SI,0
AM,SB,0
AM,SO,1
AM,ZA,0
AM,KR,0
AM,SS,0
AM,ES,0
AM,LK,1
AM,SH,0
AM,KN,0
AM,LC,0
AM,MF,0
AM,VC,1
AM,SD,0
AM,SR,0
