passportfrom_country_name,passportfrom_destinations_visafree,gain-loss,averageGDPPerCountry,averageGDP,averagePopulationPerCountry,averagePopulation,averageSurfacePerCountry,averageSurface,averageUnescoSitesPerCountry,averageUnescoSites
Japan,191,0,365,171,32,21,455,364,5,3
Singapore,190,0,363,171,26,21,480,364,5,3
Korea (Republic of),190,-1,323,171,27,21,530,364,5,3
Germany,189,-1,306,171,19,21,432,364,5,3
France,189,0,306,171,19,21,426,364,5,3
Finland,188,0,307,171,19,21,426,364,5,3
Italy,188,0,307,171,19,21,426,364,5,3
Denmark,188,0,307,171,19,21,426,364,5,3
Sweden,188,0,307,171,19,21,426,364,5,3
Luxembourg,187,-1,308,171,18,21,426,364,5,3
Spain,187,-3,304,171,18,21,424,364,4,3
United Kingdom of Great Britain and Northern Ireland,186,-12,304,171,18,21,418,364,4,3
Norway,186,-2,306,171,18,21,425,364,5,3
Austria,186,-5,305,171,18,21,425,364,4,3
Netherlands,186,-5,305,171,18,21,425,364,4,3
Portugal,186,-5,305,171,18,21,425,364,4,3
United States of America,186,-27,292,171,16,21,377,364,4,3
Switzerland,186,0,309,171,18,21,427,364,5,3
Canada,185,-20,295,171,17,21,380,364,4,3
Ireland,185,-4,307,171,18,21,426,364,4,3
Greece,185,3,311,171,18,21,426,364,5,3
Belgium,185,-3,307,171,18,21,427,364,4,3
Czechia,184,-3,306,171,18,21,386,364,5,3
Malta,183,-5,309,171,18,21,420,364,4,3
Iceland,182,4,316,171,18,21,429,364,5,3
Australia,182,-16,301,171,17,21,383,364,4,3
New Zealand,182,0,314,171,18,21,426,364,5,3
Lithuania,181,-8,309,171,18,21,379,364,4,3
Latvia,181,-8,309,171,18,21,379,364,4,3
Hungary,181,-5,310,171,18,21,386,364,5,3
Slovakia,181,-4,309,171,18,21,385,364,5,3
Slovenia,181,-8,309,171,18,21,379,364,4,3
Malaysia,180,-12,208,171,17,21,349,364,5,3
Estonia,180,-10,311,171,18,21,381,364,4,3
Liechtenstein,179,8,320,171,18,21,421,364,5,3
Chile,176,21,327,171,20,21,493,364,5,3
Monaco,175,9,328,171,19,21,439,364,5,3
Poland,175,-14,210,171,17,21,344,364,5,3
Cyprus,174,-17,210,171,16,21,337,364,4,3
Brazil,172,-10,186,171,17,21,408,364,5,3
Argentina,171,-4,217,171,18,21,409,364,5,3
Hong Kong,170,8,233,171,18,21,525,364,5,3
Andorra,170,12,337,171,19,21,436,364,5,3
Romania,170,-11,219,171,17,21,343,364,5,3
Bulgaria,170,-11,219,171,17,21,343,364,5,3
Croatia,169,-12,212,171,16,21,338,364,5,3
San Marino,169,36,405,171,28,21,492,364,5,3
Brunei Darussalam,166,28,393,171,27,21,508,364,5,3
United Arab Emirates,165,18,288,171,26,21,430,364,5,3
Israel,162,-5,219,171,15,21,454,364,5,3
Barbados,160,9,289,171,25,21,385,364,5,3
Mexico,159,-8,223,171,16,21,359,364,5,3
Bahamas,155,6,295,171,25,21,377,364,5,3
Uruguay,155,-4,234,171,18,21,402,364,5,3
Seychelles,152,11,264,171,27,21,440,364,5,3
Saint Kitts and Nevis,152,-11,191,171,16,21,371,364,5,3
Antigua and Barbuda,151,-19,177,171,15,21,253,364,4,3
"Taiwan, Province of China",150,23,416,171,27,21,432,364,5,3
Costa Rica,150,-7,231,171,18,21,292,364,5,3
Holy See,149,-8,193,171,16,21,390,364,5,3
Trinidad and Tobago,149,-9,197,171,18,21,293,364,5,3
Saint Lucia,146,-28,172,171,14,21,207,364,4,3
Mauritius,146,10,287,171,24,21,386,364,5,3
Macao,145,5,242,171,19,21,414,364,5,3
Saint Vincent and the Grenadines,145,-16,186,171,15,21,270,364,5,3
Paraguay,144,4,213,171,19,21,423,364,5,3
Grenada,144,18,273,171,26,21,453,364,5,3
Panama,142,5,212,171,19,21,417,364,5,3
Venezuela (Bolivarian Republic of),139,2,197,171,19,21,435,364,5,3
Dominica,138,-7,198,171,16,21,375,364,5,3
El Salvador,138,0,245,171,19,21,391,364,5,3
Honduras,138,0,244,171,18,21,397,364,5,3
Guatemala,137,0,245,171,18,21,405,364,5,3
Peru,135,10,209,171,20,21,453,364,5,3
Solomon Islands,131,-17,192,171,15,21,270,364,5,3
Serbia,130,27,318,171,29,21,519,364,6,3
Vanuatu,130,-15,181,171,15,21,319,364,5,3
Samoa,129,-4,205,171,18,21,411,364,5,3
Ukraine,129,4,201,171,19,21,472,364,5,3
Nicaragua,129,-1,213,171,18,21,408,364,5,3
Tuvalu,128,-18,179,171,15,21,189,364,4,3
Colombia,128,-5,200,171,16,21,421,364,5,3
Macedonia (the former Yugoslav Republic of),126,-5,221,171,18,21,296,364,5,3
Marshall Islands,125,7,344,171,19,21,292,364,5,3
Tonga,125,9,282,171,27,21,277,364,5,3
Montenegro,124,-3,200,171,16,21,422,364,5,3
Kiribati,124,-14,187,171,15,21,195,364,5,3
Moldova (Republic of),123,-5,172,171,16,21,381,364,5,3
Micronesia (Federated States of),122,2,345,171,17,21,281,364,5,3
Russian Federation,120,8,121,171,22,21,526,364,3,3
