passportfrom_country_name,passportfrom_alpha_3code,New_Overall_ranking,gain-loss,gain-loss-rank,passportfrom_destinations_visafree,passportfrom_welcomed_visafree,visaFreeRatio,visafree_percent,visafree_countries_Rank,countryto_GDP_2016_billions_USD,countryto_UN_World_GDP_percent,GDP_Rank,countryto_surface_area,countryto_Surface_area_covered_percent,Surface_Rank,countryto_population_millions,countryto_UN_population_Value_percent,Population_Rank,countryto_unesco_total_sites,countryto_unesco_total_sites_percent,unesco_total_sites_Rank,passportfrom_region_name,passportfrom_sub_region_name,passportfrom_development_status,passportfrom_GDP_2016_billions_USD,passportfrom_GDP_capita_2016_USD,passportfrom_UN_World_GDP_percent,passportfrom_population_millions,passportfrom_UN_population_Value_percent,passportfrom_surface_area,passportfrom_Surface_area_covered_percent,passportfrom_unesco_total_sites,passportfrom_unesco_total_sites_percent,passportfrom_trade_import_UN,passportfrom_trade_export_UN,passportfrom_openness_index,passportfrom_unemployment_rate_UN,passportfrom_visitor_arrivals,passportfrom_tourism_expenditure
Japan,JPN,1,0,78,191.0,68.0,2.8,0.8414096916299559,1,69729.421,0.9217510168162725,1,87035.0,0.6392018331105594,4,6250.349999999998,0.8188782127706392,1,1027.0,0.8800342759211662,1,Asia,Eastern Asia,Developed,4936.212,38640.0,0.06525163073160593,127.19,0.01666356602147044,378.0,0.0027761049338288217,22.0,0.018851756640959727,606924.0,644932.0,253.6066117095457,5.1,8611.0,33427.0
Singapore,SGP,2,0,78,190.0,164.0,1.2,0.8370044052863436,2,69081.951,0.9131921313085608,2,91350.0,0.6708920256752985,2,5038.729999999998,0.6601400268839039,3,1011.0,0.8663239074550136,3,Asia,South-eastern Asia,Developing,296.946,52814.0,0.00392531980782581,5.79,0.0007585662965981119,1.0,7.344192946637094e-06,1.0,0.000856898029134533,291908.0,338082.0,2121.5641901221097,3.2,9161.0,18386.0
Korea (Republic of),KOR,3,-1,94,190.0,111.0,1.7,0.8370044052863436,2,61530.87300000001,0.8133746694002082,6,100783.0,0.7401697977409263,1,5191.31,0.6801300174771576,2,1018.0,0.8723221936589555,2,Asia,Eastern Asia,Developing,1411.246,27785.0,0.018655216360937484,51.16,0.006702634150942901,100.0,0.0007344192946637094,13.0,0.011139674378748929,406182.0,495418.0,638.8680641078876,3.7,8798.0,21053.0
Germany,DEU,5,-1,94,189.0,94.0,2.0,0.8325991189427313,4,57888.78099999998,0.7652299701298901,8,81735.0,0.6002776104933827,8,3617.880000000001,0.4739899539095642,15,954.0,0.8174807197943451,5,Europe,Western Europe,Developed,3477.796,42456.0,0.04597287562848924,82.29,0.010781074360459176,357.0,0.0026218768819494427,44.0,0.037703513281919454,1060672.0,1340752.0,690.5016855502738,7.0,26875.0,52129.0
France,FRA,4,0,78,189.0,94.0,2.0,0.8325991189427313,4,57945.39999999998,0.765978414905032,7,80620.0,0.5920888353578824,9,3647.130000000001,0.47782208934574644,13,954.0,0.8174807197943451,5,Europe,Western Europe,Developed,2465.454,36826.0,0.03259075866145149,65.23,0.008545989555629506,552.0,0.004053994506543676,44.0,0.037703513281919454,560555.0,488885.0,425.6579112812488,8.9,76647.0,50883.0
Finland,FIN,6,0,78,188.0,94.0,2.0,0.8281938325991189,6,57877.62099999998,0.7650824464418953,9,80171.0,0.5887912927248423,10,3614.760000000001,0.47358119279637145,16,949.0,0.8131962296486724,7,Europe,Northern Europe,Developed,238.503,43339.0,0.0031527636342159144,5.54,0.0007258130022717686,338.0,0.0024823372159633377,7.0,0.005998286203941731,60502.0,57326.0,494.03152161608034,8.4,2319.0,2717.0
Italy,ITA,6,0,78,188.0,94.0,2.0,0.8281938325991189,6,57877.62099999998,0.7650824464418953,9,80171.0,0.5887912927248423,10,3614.760000000001,0.47358119279637145,16,949.0,0.8131962296486724,7,Europe,Southern Europe,Developed,1858.913,31279.0,0.024572912313770512,59.29,0.007767771282435588,302.0,0.0022179462698844023,54.0,0.04627249357326478,404578.0,461529.0,465.92121309604056,8.4,43626.0,40373.0
Denmark,DNK,6,0,78,188.0,94.0,2.0,0.8281938325991189,6,57877.62099999998,0.7650824464418953,9,80171.0,0.5887912927248423,10,3614.760000000001,0.47358119279637145,16,949.0,0.8131962296486724,7,Europe,Northern Europe,Developed,306.9,53730.0,0.0040569014198599766,5.75,0.0007533257695058969,43.0,0.00031580029670539504,10.0,0.00856898029134533,85133.0,94355.0,584.8419680677746,7.5,9425.0,7046.0
Sweden,SWE,6,0,78,188.0,94.0,2.0,0.8281938325991189,6,57877.62099999998,0.7650824464418953,9,80171.0,0.5887912927248423,10,3614.760000000001,0.47358119279637145,16,949.0,0.8131962296486724,7,Europe,Northern Europe,Developed,514.476,52297.0,0.0068008420165652705,9.98,0.0013075115095076263,439.0,0.0032241007035736843,15.0,0.012853470437017995,141101.0,139456.0,545.3257294800924,8.6,,
Luxembourg,LUX,11,-1,94,187.0,94.0,2.0,0.8237885462555066,10,57672.34499999998,0.7623689094726441,13,79840.0,0.5863603648595055,14,3518.2700000000013,0.460939731318176,24,941.0,0.8063410454155961,11,Europe,Western Europe,Developed,58.631,101835.0,0.0007750413396800597,0.59,7.729777461017029e-05,3.0,2.2032578839911284e-05,1.0,0.000856898029134533,19124.0,12838.0,545.1382374511777,4.4,805.0,4583.0
