passport,visafree,to
BZ,0,AF
BZ,0,AL
BZ,0,DZ
BZ,0,AS
BZ,0,AD
BZ,0,AO
BZ,1,AI
BZ,1,AG
BZ,0,AR
BZ,1,AM
BZ,1,AW
BZ,0,AU
BZ,0,AT
BZ,0,AZ
BZ,1,BS
BZ,0,BH
BZ,1,BD
BZ,1,BB
BZ,0,BY
BZ,0,BE
BZ,0,BZ
BZ,1,BJ
BZ,1,BM
BZ,0,BT
BZ,1,BO
BZ,1,BQ
BZ,0,BA
BZ,1,BW
BZ,1,BR
BZ,1,VG
BZ,0,BN
BZ,0,BG
BZ,0,BF
BZ,0,BI
BZ,1,KH
BZ,0,CM
BZ,0,CA
BZ,1,CV
BZ,1,KY
BZ,0,CF
BZ,0,TD
BZ,1,CL
BZ,0,CN
BZ,1,CO
BZ,1,KM
BZ,0,CD
BZ,0,CG
BZ,1,CK
BZ,1,CR
BZ,0,CI
BZ,0,HR
BZ,0,CU
BZ,1,CW
BZ,0,CY
BZ,0,CZ
BZ,0,DK
BZ,1,DJ
BZ,1,DM
BZ,1,DO
BZ,1,EC
BZ,0,EG
BZ,1,SV
BZ,0,GQ
BZ,0,ER
BZ,0,EE
BZ,1,SZ
BZ,0,ET
BZ,0,FK
BZ,0,FO
BZ,1,FJ
BZ,0,FI
BZ,0,FR
BZ,0,GF
BZ,0,PF
BZ,0,FW
BZ,0,GA
BZ,1,GM
BZ,1,GE
BZ,0,DE
BZ,0,GH
BZ,1,GI
BZ,0,GR
BZ,0,GL
BZ,1,GD
BZ,0,GU
BZ,1,GT
BZ,0,GN
BZ,1,GW
BZ,1,GY
BZ,1,HT
BZ,1,HN
BZ,1,HK
BZ,0,HU
BZ,0,IS
BZ,0,IN
BZ,1,ID
BZ,1,IR
BZ,0,IQ
BZ,1,IE
BZ,1,IL
BZ,0,IT
BZ,1,JM
BZ,0,JP
BZ,0,JO
BZ,0,KZ
BZ,1,KE
BZ,1,KI
BZ,1,XK
BZ,0,KW
BZ,0,KG
BZ,1,LA
BZ,0,LV
BZ,1,LB
BZ,1,LS
BZ,0,LR
BZ,0,LY
BZ,0,LI
BZ,0,LT
BZ,0,LU
BZ,1,MO
BZ,0,MK
BZ,1,MG
BZ,1,MW
BZ,1,MY
BZ,1,MV
BZ,0,ML
BZ,0,MT
BZ,1,MH
BZ,1,MR
BZ,1,MU
BZ,0,YT
BZ,1,MX
BZ,1,FM
BZ,0,MD
BZ,0,MC
BZ,0,MN
BZ,0,ME
BZ,1,MS
BZ,0,MA
BZ,1,MZ
BZ,0,MM
BZ,0,NA
BZ,0,NR
BZ,1,NP
BZ,0,NL
BZ,0,NC
BZ,0,NZ
BZ,1,NI
BZ,0,NE
BZ,0,NG
BZ,1,NU
BZ,0,KP
BZ,0,MP
BZ,0,NO
BZ,0,OM
BZ,0,PK
BZ,1,PW
BZ,1,PS
BZ,1,PA
BZ,0,PG
BZ,0,PY
BZ,1,PE
BZ,1,PH
BZ,0,PL
BZ,0,PT
BZ,0,PR
BZ,0,QA
BZ,0,RE
BZ,0,RO
BZ,0,RU
BZ,1,RW
BZ,1,WS
BZ,0,SM
BZ,0,ST
BZ,0,SA
BZ,1,SN
BZ,0,RS
BZ,1,SC
BZ,0,SL
BZ,1,SG
BZ,0,SK
BZ,0,SI
BZ,1,SB
BZ,1,SO
BZ,1,ZA
BZ,0,KR
BZ,0,SS
BZ,0,ES
BZ,1,LK
BZ,1,SH
BZ,1,KN
BZ,1,LC
AT,0,AF
AT,1,AL
AT,0,DZ
AT,1,AS
AT,1,AD
BZ,1,MF
BZ,1,VC
BZ,0,SD
BZ,1,SR
BZ,0,SE
BZ,0,CH
BZ,0,SY
AT,0,AO
AT,1,AI
AT,1,AG
AT,1,AR
AT,1,AM
AT,1,AW
AT,1,AU
AT,0,AT
AT,0,AZ
AT,1,BS
BZ,1,TW
BZ,0,TJ
BZ,1,TZ
BZ,0,TH
BZ,1,TL
BZ,1,TG
BZ,0,TO
AT,1,BH
AT,1,BD
AT,1,BB
AT,1,BY
AT,1,BE
AT,1,BZ
AT,1,BJ
AT,1,BM
AT,0,BT
BZ,1,TT
BZ,0,TN
BZ,1,TR
BZ,0,TM
BZ,1,TC
AT,1,BO
AT,1,BQ
AT,1,BA
AT,1,BW
AT,1,BR
AT,1,VG
AT,1,BN
AT,1,BG
AT,1,BF
AT,0,BI
BZ,1,TV
BZ,1,UG
BZ,0,UA
BZ,0,AE
BZ,1,GB
BZ,0,US
BZ,1,UY
BZ,0,VI
BZ,0,UZ
AT,1,KH
AT,0,CM
AT,1,CA
AT,1,CV
AT,1,KY
AT,0,CF
AT,0,TD
AT,1,CL
AT,0,CN
AT,1,CO
AT,1,KM
BZ,1,VU
BZ,0,VA
BZ,1,VE
BZ,0,VN
BZ,0,YE
BZ,1,ZM
BZ,1,ZW
AT,0,CD
AT,0,CG
AT,1,CK
AT,1,CR
AT,0,CI
AT,1,HR
AT,0,CU
AT,1,CW
AT,1,CY
AT,1,CZ
AT,1,DK
AT,1,DJ
AT,1,DM
AT,1,DO
AT,1,EC
AT,1,EG
AT,1,SV
AT,0,GQ
AT,0,ER
AT,1,EE
AT,1,SZ
AT,1,ET
AT,1,FK
AT,1,FO
AT,1,FJ
AT,1,FI
AT,1,FR
AT,1,GF
AT,1,PF
AT,1,FW
AT,1,GA
AT,1,GM
AT,1,GE
AT,1,DE
AT,0,GH
AT,1,GI
AT,1,GR
AT,1,GL
AT,1,GD
AT,1,GU
